"table_name","column_name"
"dim_date","day"
"store_summary_view2","total_sales"
"dim_product","cost_price"
"dim_store","staff_numbers"
"store_summary_view2","order_count"
"dim_product","sale_price"
"dim_date","quarter"
"dim_date","year"
"orders","card_number"
"dim_store","lat"
"dim_store","long"
"dim_product","EAN"
"store_summary_view2","percentage_of_total_sales"
"dim_store","date_added"
"dim_store","sale_price"
"orders","product_quantity"
"store_summary","total_sales"
"store_summary","percentage_of_total_sales"
"store_summary","order_count"
"store_summary_view_new","total_sales"
"store_summary_view","total_sales"
"store_summary_view","percentage_of_total_sales"
"store_summary_view","order_count"
"dim_product","product_uuid"
"dim_product","availability"
"dim_product","product_code"
"dim_product","country_code"
"dim_product","country_name"
"orders","order_date_uuid"
"orders","user_id"
"orders","store_code"
"store_summary_view_new","store_type"
"orders","ship_date_uuid"
"orders","order_date"
"orders","shipping_date"
"dim_store","store_code"
"dim_store","date_opened"
"dim_store","store_type"
"dim_store","country_code"
"dim_store","region"
"dim_store","country_region"
"dim_store","country"
"dim_store","full_region"
"store_summary","store_type"
"store_summary_view","store_type"
"orders","product_code"
"dim_customer","first_name"
"dim_customer","last_name"
"dim_customer","date_of_birth"
"dim_customer","company"
"dim_customer","email"
"dim_customer","address"
"dim_customer","country"
"dim_customer","country_code"
"dim_customer","join_date"
"dim_customer","user_uuid"
"store_summary_view2","store_type"
"dim_date","date"
"dim_date","day_of_week"
"dim_date","month_name"
"dim_date","start_of_year"
"dim_date","start_of_monthj"
"dim_date","start_of_quarter"
"dim_date","start_of_week"
"dim_product","description"
"dim_product","weight"
"dim_product","category"
"dim_product","date_added"
